iter	Passed	Remaining
0	12	12005
1	22	10995
2	32	10900
3	43	10855
4	55	11028
5	65	10800
6	74	10537
7	82	10177
8	91	10022
9	100	9944
10	109	9889
11	119	9836
12	129	9841
13	139	9804
14	148	9766
15	157	9682
16	166	9629
17	175	9590
18	187	9655
19	196	9615
20	206	9646
21	218	9723
22	227	9679
23	236	9600
24	244	9519
25	252	9460
26	261	9416
27	270	9390
28	279	9344
29	288	9332
30	297	9299
31	306	9258
32	315	9255
33	325	9234
34	334	9213
35	343	9200
36	353	9189
37	362	9183
38	372	9175
39	381	9158
40	390	9133
41	401	9149
42	411	9168
43	421	9150
44	430	9141
45	440	9132
46	449	9124
47	458	9103
48	468	9083
49	477	9066
50	486	9050
51	495	9029
52	504	9012
53	514	9005
54	522	8981
55	530	8945
56	538	8909
57	546	8874
58	554	8847
59	562	8811
60	570	8777
61	578	8754
62	588	8751
63	599	8764
64	607	8739
65	615	8709
66	623	8680
67	631	8657
68	639	8627
69	647	8598
70	656	8584
71	665	8576
72	674	8569
73	683	8557
74	693	8553
75	701	8530
76	709	8505
77	717	8484
78	725	8460
79	734	8445
80	743	8439
81	753	8430
82	762	8419
83	773	8431
84	787	8473
85	797	8479
86	809	8494
87	822	8522
88	835	8555
89	847	8565
90	857	8569
91	869	8576
92	891	8691
93	906	8736
94	916	8733
95	926	8724
96	936	8720
97	946	8713
98	957	8716
99	968	8715
100	977	8701
101	987	8690
102	996	8679
103	1005	8666
104	1015	8659
105	1025	8645
106	1033	8626
107	1043	8622
108	1057	8645
109	1068	8644
110	1079	8646
111	1090	8648
112	1102	8657
113	1114	8662
114	1127	8677
115	1139	8684
116	1152	8699
117	1164	8706
118	1179	8734
119	1193	8752
120	1205	8754
121	1221	8787
122	1236	8814
123	1259	8900
124	1298	9092
125	1344	9325
126	1378	9476
127	1400	9541
128	1420	9591
129	1435	9609
130	1450	9622
131	1462	9615
132	1474	9610
133	1485	9602
134	1498	9602
135	1511	9604
136	1524	9601
137	1536	9597
138	1546	9579
139	1556	9563
140	1566	9545
141	1579	9545
142	1591	9535
143	1602	9528
144	1613	9515
145	1626	9513
146	1637	9501
147	1649	9497
148	1660	9486
149	1672	9476
150	1683	9467
151	1694	9456
152	1705	9442
153	1715	9424
154	1728	9420
155	1738	9406
156	1749	9392
157	1759	9375
