iter	Passed	Remaining
0	60	60615
1	107	53616
2	153	50998
3	183	45707
4	210	41978
5	238	39488
6	270	38389
7	297	36884
8	324	35723
9	351	34793
10	378	34034
11	405	33393
12	432	32805
13	458	32318
14	488	32074
15	515	31725
16	542	31379
17	569	31068
18	596	30791
19	623	30539
20	650	30313
21	677	30102
22	704	29904
23	731	29728
24	758	29564
25	785	29412
26	813	29307
27	841	29197
28	868	29064
29	894	28927
30	926	28968
31	957	28959
32	984	28860
33	1013	28789
34	1040	28676
35	1066	28571
36	1093	28471
37	1120	28371
38	1148	28288
39	1174	28198
40	1201	28114
41	1228	28031
42	1255	27935
43	1282	27854
44	1309	27781
45	1335	27697
46	1361	27614
47	1388	27533
48	1414	27458
49	1441	27391
50	1468	27317
51	1494	27253
52	1521	27191
53	1548	27120
54	1574	27049
55	1601	26990
56	1627	26927
57	1654	26864
58	1680	26807
59	1709	26774
60	1737	26748
61	1765	26707
62	1792	26658
63	1819	26607
64	1846	26559
65	1877	26562
66	1903	26505
67	1929	26449
68	1956	26397
69	1983	26346
70	2009	26294
71	2036	26248
72	2062	26194
73	2089	26145
74	2116	26100
75	2142	26053
76	2169	26005
77	2195	25957
78	2222	25908
79	2249	25865
80	2275	25815
81	2301	25766
82	2328	25721
83	2353	25667
84	2379	25618
85	2406	25574
86	2432	25526
87	2458	25483
88	2485	25438
89	2511	25396
90	2537	25351
91	2564	25306
92	2590	25260
93	2616	25220
94	2643	25182
95	2670	25145
96	2696	25105
97	2723	25064
98	2750	25027
99	2776	24990
100	2803	24950
101	2829	24914
102	2856	24880
103	2883	24843
104	2909	24801
105	2936	24762
106	2962	24724
107	2989	24689
108	3016	24657
109	3043	24622
110	3069	24584
111	3095	24545
112	3122	24510
113	3148	24473
114	3175	24439
115	3202	24405
116	3230	24378
117	3258	24358
118	3285	24326
119	3311	24286
120	3338	24252
121	3364	24215
122	3391	24180
123	3417	24144
124	3444	24108
125	3470	24073
126	3496	24038
127	3523	24005
128	3550	23970
129	3576	23936
130	3603	23903
131	3630	23872
132	3658	23848
133	3684	23813
134	3711	23778
135	3737	23743
136	3764	23710
137	3790	23677
138	3817	23644
139	3843	23610
140	3870	23578
141	3896	23544
142	3923	23511
143	3949	23477
144	3975	23443
145	4002	23409
146	4028	23377
147	4055	23346
148	4081	23312
149	4108	23279
150	4134	23246
151	4161	23215
152	4188	23185
153	4214	23151
154	4240	23119
155	4267	23086
156	4293	23054
157	4322	23037
158	4349	23007
159	4376	22974
160	4402	22944
161	4429	22911
162	4455	22879
163	4481	22847
164	4508	22816
165	4535	22785
166	4561	22754
167	4588	22723
168	4614	22692
169	4641	22661
170	4667	22629
171	4694	22597
172	4720	22565
173	4747	22535
174	4773	22503
175	4800	22473
176	4826	22440
177	4852	22408
178	4879	22378
179	4905	22345
180	4931	22314
181	4957	22282
182	4984	22251
183	5011	22222
184	5037	22193
185	5064	22162
186	5090	22131
187	5117	22101
188	5143	22070
189	5169	22039
190	5196	22010
191	5223	21981
192	5252	21963
193	5279	21934
194	5306	21905
195	5332	21875
196	5359	21844
197	5386	21816
198	5412	21786
199	5439	21756
200	5465	21726
201	5492	21696
202	5518	21666
203	5544	21635
204	5570	21603
205	5597	21573
206	5623	21542
207	5650	21515
208	5676	21485
209	5703	21455
210	5729	21425
211	5756	21397
212	5783	21367
213	5809	21338
214	5836	21309
215	5863	21281
216	5889	21252
217	5916	21222
218	5942	21193
219	5968	21162
220	5995	21133
221	6022	21106
222	6048	21076
223	6075	21048
224	6102	21018
225	6128	20987
226	6153	20955
227	6180	20926
228	6206	20894
229	6232	20866
230	6259	20838
231	6286	20809
232	6312	20780
233	6340	20754
234	6366	20726
235	6393	20696
236	6419	20667
237	6446	20639
238	6473	20611
239	6500	20585
240	6527	20557
241	6553	20527
242	6580	20499
243	6607	20471
244	6633	20442
245	6660	20413
246	6687	20387
247	6713	20358
248	6740	20330
249	6767	20301
250	6794	20274
251	6820	20245
252	6847	20219
253	6874	20190
254	6900	20161
255	6927	20133
256	6954	20105
257	6981	20078
258	7007	20049
259	7034	20021
260	7061	19993
261	7088	19966
262	7115	19938
263	7141	19909
264	7168	19882
265	7194	19853
266	7222	19826
267	7248	19799
268	7275	19770
269	7301	19741
270	7328	19713
271	7355	19685
272	7382	19659
273	7409	19632
274	7436	19605
275	7463	19577
276	7490	19551
277	7517	19524
278	7545	19498
279	7572	19471
280	7599	19443
281	7625	19415
282	7652	19387
283	7679	19360
284	7706	19333
285	7732	19304
286	7759	19278
287	7786	19249
288	7813	19223
289	7840	19196
290	7867	19168
291	7894	19141
292	7921	19114
293	7948	19086
294	7975	19059
295	8002	19031
296	8029	19005
297	8056	18977
298	8083	18950
299	8109	18922
300	8136	18895
301	8163	18868
302	8190	18840
303	8217	18814
304	8244	18787
305	8271	18760
306	8298	18732
307	8325	18706
308	8352	18679
309	8380	18652
310	8406	18625
311	8434	18599
312	8461	18571
313	8488	18545
314	8515	18518
315	8542	18491
316	8570	18465
317	8597	18438
318	8624	18411
319	8652	18385
320	8679	18358
321	8706	18332
322	8733	18305
323	8760	18278
324	8787	18250
325	8813	18222
326	8840	18195
327	8867	18168
328	8894	18141
329	8922	18114
330	8949	18088
331	8977	18062
332	9004	18036
333	9031	18009
334	9059	17982
335	9085	17955
336	9113	17929
337	9139	17901
338	9167	17874
339	9194	17848
340	9221	17821
341	9249	17794
342	9276	17768
343	9303	17741
344	9331	17715
345	9358	17688
346	9385	17662
347	9412	17634
348	9439	17608
349	9467	17582
350	9494	17555
351	9521	17529
352	9549	17503
353	9576	17476
354	9604	17449
355	9631	17423
356	9659	17398
357	9686	17371
358	9714	17344
359	9742	17319
360	9769	17293
361	9797	17266
362	9824	17240
363	9851	17213
364	9879	17188
365	9907	17161
366	9934	17135
367	9961	17108
368	9989	17082
369	10017	17056
370	10045	17030
371	10072	17004
372	10099	16977
373	10127	16951
374	10155	16925
375	10183	16899
376	10210	16872
377	10239	16848
378	10266	16821
379	10294	16796
380	10321	16769
381	10349	16743
382	10376	16716
383	10405	16691
384	10434	16668
385	10465	16646
386	10495	16625
387	10525	16602
388	10556	16581
389	10588	16561
390	10619	16540
391	10651	16521
392	10685	16503
393	10717	16484
394	10750	16465
395	10783	16446
396	10816	16428
397	10849	16411
398	10883	16393
399	10917	16375
400	10950	16357
401	10985	16341
402	11019	16324
403	11053	16306
404	11086	16287
405	11120	16270
406	11154	16252
407	11188	16234
408	11223	16217
409	11256	16197
410	11289	16178
411	11322	16159
412	11356	16141
413	11391	16123
414	11425	16105
415	11459	16086
416	11501	16079
417	11540	16067
418	11574	16050
419	11608	16031
420	11643	16013
421	11677	15993
422	11711	15974
423	11744	15954
424	11778	15935
425	11811	15915
426	11845	15895
427	11878	15875
428	11912	15855
429	11946	15836
430	11980	15817
431	12014	15797
432	12048	15777
433	12082	15757
434	12116	15737
435	12150	15717
436	12183	15696
437	12217	15676
438	12251	15656
439	12286	15636
440	12319	15615
441	12353	15595
442	12387	15574
443	12421	15554
444	12455	15534
445	12489	15513
446	12523	15492
447	12556	15471
448	12590	15450
449	12623	15429
450	12657	15407
451	12692	15388
452	12728	15369
453	12762	15349
454	12797	15328
455	12830	15306
456	12864	15285
457	12898	15264
458	12932	15242
459	12966	15221
460	13000	15199
461	13034	15178
462	13067	15156
463	13100	15133
464	13134	15111
465	13167	15089
466	13201	15067
467	13236	15046
468	13269	15023
469	13304	15002
470	13337	14979
471	13370	14956
472	13403	14934
473	13438	14912
474	13472	14890
475	13506	14869
476	13540	14846
477	13574	14824
478	13608	14801
479	13643	14779
480	13677	14758
481	13711	14735
482	13744	14712
483	13778	14689
484	13812	14666
485	13846	14644
486	13880	14621
487	13914	14598
488	13948	14576
489	13982	14553
490	14016	14530
491	14050	14507
492	14084	14484
493	14118	14461
494	14152	14438
495	14186	14415
496	14224	14396
497	14258	14373
498	14292	14350
499	14326	14326
500	14359	14302
501	14392	14278
502	14426	14254
503	14460	14230
504	14493	14206
